Progress[1500/126614], Elapsed[   9m], G_Loss[0.325], D_Real_Loss[0.725], D_Fake_Loss[0.143]
    Saved train/batch001500_out.png
Progress[1510/126614], Elapsed[   9m], G_Loss[0.246], D_Real_Loss[0.219], D_Fake_Loss[1.754]
Progress[1520/126614], Elapsed[   9m], G_Loss[0.265], D_Real_Loss[0.189], D_Fake_Loss[0.964]
Progress[1530/126614], Elapsed[   9m], G_Loss[0.284], D_Real_Loss[0.403], D_Fake_Loss[0.450]
Progress[1540/126614], Elapsed[   9m], G_Loss[0.286], D_Real_Loss[1.017], D_Fake_Loss[0.219]
Progress[1550/126614], Elapsed[   9m], G_Loss[0.244], D_Real_Loss[0.881], D_Fake_Loss[0.487]
Progress[1560/126614], Elapsed[   9m], G_Loss[0.244], D_Real_Loss[0.300], D_Fake_Loss[0.664]
Progress[1570/126614], Elapsed[   9m], G_Loss[0.270], D_Real_Loss[0.994], D_Fake_Loss[0.475]
Progress[1580/126614], Elapsed[   9m], G_Loss[0.268], D_Real_Loss[0.809], D_Fake_Loss[0.414]
Progress[1590/126614], Elapsed[   9m], G_Loss[0.250], D_Real_Loss[0.809], D_Fake_Loss[0.576]
Progress[1600/126614], Elapsed[   9m], G_Loss[0.289], D_Real_Loss[1.081], D_Fake_Loss[0.203]
Progress[1610/126614], Elapsed[   9m], G_Loss[0.262], D_Real_Loss[0.640], D_Fake_Loss[0.539]
Progress[1620/126614], Elapsed[   9m], G_Loss[0.274], D_Real_Loss[0.395], D_Fake_Loss[0.417]
Progress[1630/126614], Elapsed[   9m], G_Loss[0.277], D_Real_Loss[0.814], D_Fake_Loss[0.257]
Progress[1640/126614], Elapsed[   9m], G_Loss[0.247], D_Real_Loss[0.266], D_Fake_Loss[1.314]
Progress[1650/126614], Elapsed[   9m], G_Loss[0.280], D_Real_Loss[0.793], D_Fake_Loss[0.269]
Progress[1660/126614], Elapsed[   9m], G_Loss[0.258], D_Real_Loss[0.810], D_Fake_Loss[0.480]
Progress[1670/126614], Elapsed[  10m], G_Loss[0.258], D_Real_Loss[0.626], D_Fake_Loss[0.571]
Progress[1680/126614], Elapsed[  10m], G_Loss[0.261], D_Real_Loss[0.703], D_Fake_Loss[0.493]
Progress[1690/126614], Elapsed[  10m], G_Loss[0.274], D_Real_Loss[0.825], D_Fake_Loss[0.454]
Progress[1700/126614], Elapsed[  10m], G_Loss[0.269], D_Real_Loss[0.533], D_Fake_Loss[0.903]
Progress[1710/126614], Elapsed[  10m], G_Loss[0.296], D_Real_Loss[0.806], D_Fake_Loss[0.214]
Progress[1720/126614], Elapsed[  10m], G_Loss[0.266], D_Real_Loss[0.514], D_Fake_Loss[0.543]
Progress[1730/126614], Elapsed[  10m], G_Loss[0.290], D_Real_Loss[0.661], D_Fake_Loss[0.419]
Progress[1740/126614], Elapsed[  10m], G_Loss[0.225], D_Real_Loss[0.261], D_Fake_Loss[1.212]
Progress[1750/126614], Elapsed[  10m], G_Loss[0.268], D_Real_Loss[0.481], D_Fake_Loss[0.457]
Progress[1760/126614], Elapsed[  10m], G_Loss[0.256], D_Real_Loss[0.430], D_Fake_Loss[0.433]
Progress[1770/126614], Elapsed[  10m], G_Loss[0.271], D_Real_Loss[0.853], D_Fake_Loss[0.441]
Progress[1780/126614], Elapsed[  10m], G_Loss[0.261], D_Real_Loss[0.557], D_Fake_Loss[0.420]
Progress[1790/126614], Elapsed[  10m], G_Loss[0.266], D_Real_Loss[0.793], D_Fake_Loss[0.699]
Progress[1800/126614], Elapsed[  10m], G_Loss[0.268], D_Real_Loss[0.661], D_Fake_Loss[0.351]
Progress[1810/126614], Elapsed[  10m], G_Loss[0.249], D_Real_Loss[0.397], D_Fake_Loss[0.790]
Progress[1820/126614], Elapsed[  10m], G_Loss[0.241], D_Real_Loss[0.385], D_Fake_Loss[0.951]
Progress[1830/126614], Elapsed[  11m], G_Loss[0.282], D_Real_Loss[0.688], D_Fake_Loss[0.512]
Progress[1840/126614], Elapsed[  11m], G_Loss[0.264], D_Real_Loss[0.529], D_Fake_Loss[0.658]
Progress[1850/126614], Elapsed[  11m], G_Loss[0.245], D_Real_Loss[0.536], D_Fake_Loss[0.627]
Progress[1860/126614], Elapsed[  11m], G_Loss[0.233], D_Real_Loss[0.408], D_Fake_Loss[0.666]
Progress[1870/126614], Elapsed[  11m], G_Loss[0.271], D_Real_Loss[0.774], D_Fake_Loss[0.411]
Progress[1880/126614], Elapsed[  11m], G_Loss[0.262], D_Real_Loss[0.612], D_Fake_Loss[0.466]
Progress[1890/126614], Elapsed[  11m], G_Loss[0.286], D_Real_Loss[0.912], D_Fake_Loss[0.215]
Progress[1900/126614], Elapsed[  11m], G_Loss[0.266], D_Real_Loss[0.215], D_Fake_Loss[0.922]
Progress[1910/126614], Elapsed[  11m], G_Loss[0.234], D_Real_Loss[0.188], D_Fake_Loss[1.521]
Progress[1920/126614], Elapsed[  11m], G_Loss[0.249], D_Real_Loss[0.258], D_Fake_Loss[1.024]
Progress[1930/126614], Elapsed[  11m], G_Loss[0.271], D_Real_Loss[0.678], D_Fake_Loss[0.291]
Progress[1940/126614], Elapsed[  11m], G_Loss[0.225], D_Real_Loss[0.445], D_Fake_Loss[0.872]
Progress[1950/126614], Elapsed[  11m], G_Loss[0.272], D_Real_Loss[0.978], D_Fake_Loss[0.375]
Progress[1960/126614], Elapsed[  11m], G_Loss[0.310], D_Real_Loss[0.908], D_Fake_Loss[0.319]
Progress[1970/126614], Elapsed[  11m], G_Loss[0.272], D_Real_Loss[0.306], D_Fake_Loss[0.750]
Progress[1980/126614], Elapsed[  11m], G_Loss[0.261], D_Real_Loss[0.504], D_Fake_Loss[0.401]
Progress[1990/126614], Elapsed[  11m], G_Loss[0.270], D_Real_Loss[0.589], D_Fake_Loss[0.406]
Progress[2000/126614], Elapsed[  12m], G_Loss[0.293], D_Real_Loss[0.642], D_Fake_Loss[0.238]
    Saved train/batch002000_out.png
    Checkpoint saved
Progress[2010/126614], Elapsed[  12m], G_Loss[0.286], D_Real_Loss[0.514], D_Fake_Loss[0.498]
Progress[2020/126614], Elapsed[  12m], G_Loss[0.255], D_Real_Loss[0.666], D_Fake_Loss[0.543]
Progress[2030/126614], Elapsed[  12m], G_Loss[0.245], D_Real_Loss[0.383], D_Fake_Loss[0.730]
Progress[2040/126614], Elapsed[  12m], G_Loss[0.283], D_Real_Loss[0.578], D_Fake_Loss[0.282]
Progress[2050/126614], Elapsed[  12m], G_Loss[0.230], D_Real_Loss[0.371], D_Fake_Loss[1.220]
Progress[2060/126614], Elapsed[  12m], G_Loss[0.243], D_Real_Loss[0.444], D_Fake_Loss[0.590]
Progress[2070/126614], Elapsed[  12m], G_Loss[0.244], D_Real_Loss[0.451], D_Fake_Loss[0.494]
Progress[2080/126614], Elapsed[  12m], G_Loss[0.236], D_Real_Loss[0.234], D_Fake_Loss[0.977]
Progress[2090/126614], Elapsed[  12m], G_Loss[0.246], D_Real_Loss[0.426], D_Fake_Loss[0.815]
Progress[2100/126614], Elapsed[  12m], G_Loss[0.261], D_Real_Loss[0.625], D_Fake_Loss[0.449]
Progress[2110/126614], Elapsed[  12m], G_Loss[0.253], D_Real_Loss[0.290], D_Fake_Loss[1.041]
Progress[2120/126614], Elapsed[  12m], G_Loss[0.294], D_Real_Loss[0.745], D_Fake_Loss[0.389]
Progress[2130/126614], Elapsed[  12m], G_Loss[0.246], D_Real_Loss[0.427], D_Fake_Loss[0.588]
Progress[2140/126614], Elapsed[  12m], G_Loss[0.285], D_Real_Loss[0.961], D_Fake_Loss[0.287]
Progress[2150/126614], Elapsed[  12m], G_Loss[0.252], D_Real_Loss[0.392], D_Fake_Loss[0.855]
Progress[2160/126614], Elapsed[  13m], G_Loss[0.243], D_Real_Loss[0.447], D_Fake_Loss[0.516]
Progress[2170/126614], Elapsed[  13m], G_Loss[0.236], D_Real_Loss[0.412], D_Fake_Loss[0.841]
Progress[2180/126614], Elapsed[  13m], G_Loss[0.307], D_Real_Loss[1.049], D_Fake_Loss[0.164]
Progress[2190/126614], Elapsed[  13m], G_Loss[0.289], D_Real_Loss[1.138], D_Fake_Loss[0.244]
Progress[2200/126614], Elapsed[  13m], G_Loss[0.269], D_Real_Loss[0.388], D_Fake_Loss[0.461]
Progress[2210/126614], Elapsed[  13m], G_Loss[0.299], D_Real_Loss[0.644], D_Fake_Loss[0.607]
Progress[2220/126614], Elapsed[  13m], G_Loss[0.244], D_Real_Loss[0.474], D_Fake_Loss[0.729]
Progress[2230/126614], Elapsed[  13m], G_Loss[0.268], D_Real_Loss[0.600], D_Fake_Loss[0.454]
Progress[2240/126614], Elapsed[  13m], G_Loss[0.234], D_Real_Loss[0.401], D_Fake_Loss[0.918]
Progress[2250/126614], Elapsed[  13m], G_Loss[0.255], D_Real_Loss[0.548], D_Fake_Loss[0.405]
Progress[2260/126614], Elapsed[  13m], G_Loss[0.252], D_Real_Loss[0.639], D_Fake_Loss[0.708]
Progress[2270/126614], Elapsed[  13m], G_Loss[0.274], D_Real_Loss[0.677], D_Fake_Loss[0.360]
Progress[2280/126614], Elapsed[  13m], G_Loss[0.244], D_Real_Loss[0.311], D_Fake_Loss[1.008]
Progress[2290/126614], Elapsed[  13m], G_Loss[0.279], D_Real_Loss[1.099], D_Fake_Loss[0.296]
Progress[2300/126614], Elapsed[  13m], G_Loss[0.272], D_Real_Loss[0.852], D_Fake_Loss[0.397]
Progress[2310/126614], Elapsed[  13m], G_Loss[0.252], D_Real_Loss[0.384], D_Fake_Loss[0.839]
Progress[2320/126614], Elapsed[  13m], G_Loss[0.267], D_Real_Loss[1.079], D_Fake_Loss[0.454]
Progress[2330/126614], Elapsed[  14m], G_Loss[0.261], D_Real_Loss[0.419], D_Fake_Loss[0.672]
